FID	IID
CAMBRIDGE-BELIEVE_234539827_234539827	CAMBRIDGE-BELIEVE_234539827_234539827
CAMBRIDGE-BELIEVE_241085724_241085724	CAMBRIDGE-BELIEVE_241085724_241085724
CAMBRIDGE-BELIEVE_241086137_241086137	CAMBRIDGE-BELIEVE_241086137_241086137
CAMBRIDGE-BELIEVE_241086152_241086152	CAMBRIDGE-BELIEVE_241086152_241086152
CAMBRIDGE-BELIEVE_241086653_241086653	CAMBRIDGE-BELIEVE_241086653_241086653
CAMBRIDGE-BELIEVE_241086771_241086771	CAMBRIDGE-BELIEVE_241086771_241086771
CAMBRIDGE-BELIEVE_241086905_241086905	CAMBRIDGE-BELIEVE_241086905_241086905
CAMBRIDGE-BELIEVE_241087081_241087081	CAMBRIDGE-BELIEVE_241087081_241087081
CAMBRIDGE-BELIEVE_241087247_241087247	CAMBRIDGE-BELIEVE_241087247_241087247
CAMBRIDGE-BELIEVE_241087735_241087735	CAMBRIDGE-BELIEVE_241087735_241087735
CAMBRIDGE-BELIEVE_241087888_241087888	CAMBRIDGE-BELIEVE_241087888_241087888
CAMBRIDGE-BELIEVE_247817629_247817629	CAMBRIDGE-BELIEVE_247817629_247817629
CAMBRIDGE-BELIEVE_247818734_247818734	CAMBRIDGE-BELIEVE_247818734_247818734
CAMBRIDGE-BELIEVE_247818743_247818743	CAMBRIDGE-BELIEVE_247818743_247818743
CAMBRIDGE-BELIEVE_247818781_247818781	CAMBRIDGE-BELIEVE_247818781_247818781
CAMBRIDGE-BELIEVE_247818783_247818783	CAMBRIDGE-BELIEVE_247818783_247818783
CAMBRIDGE-BELIEVE_247819010_247819010	CAMBRIDGE-BELIEVE_247819010_247819010
CAMBRIDGE-BELIEVE_247819196_247819196	CAMBRIDGE-BELIEVE_247819196_247819196
CAMBRIDGE-BELIEVE_247819377_247819377	CAMBRIDGE-BELIEVE_247819377_247819377
CAMBRIDGE-BELIEVE_247819746_247819746	CAMBRIDGE-BELIEVE_247819746_247819746
CAMBRIDGE-BELIEVE_247820093_247820093	CAMBRIDGE-BELIEVE_247820093_247820093
CAMBRIDGE-BELIEVE_247825854_247825854	CAMBRIDGE-BELIEVE_247825854_247825854
CAMBRIDGE-BELIEVE_247825962_247825962	CAMBRIDGE-BELIEVE_247825962_247825962
CAMBRIDGE-BELIEVE_247825978_247825978	CAMBRIDGE-BELIEVE_247825978_247825978
CAMBRIDGE-BELIEVE_247826015_247826015	CAMBRIDGE-BELIEVE_247826015_247826015
CAMBRIDGE-BELIEVE_247826081_247826081	CAMBRIDGE-BELIEVE_247826081_247826081
CAMBRIDGE-BELIEVE_247826094_247826094	CAMBRIDGE-BELIEVE_247826094_247826094
CAMBRIDGE-BELIEVE_247826130_247826130	CAMBRIDGE-BELIEVE_247826130_247826130
CAMBRIDGE-BELIEVE_247826218_247826218	CAMBRIDGE-BELIEVE_247826218_247826218
CAMBRIDGE-BELIEVE_247826224_247826224	CAMBRIDGE-BELIEVE_247826224_247826224
CAMBRIDGE-BELIEVE_247826301_247826301	CAMBRIDGE-BELIEVE_247826301_247826301
CAMBRIDGE-BELIEVE_247826633_247826633	CAMBRIDGE-BELIEVE_247826633_247826633
CAMBRIDGE-BELIEVE_247826711_247826711	CAMBRIDGE-BELIEVE_247826711_247826711
CAMBRIDGE-BELIEVE_247826765_247826765	CAMBRIDGE-BELIEVE_247826765_247826765
CAMBRIDGE-BELIEVE_247826781_247826781	CAMBRIDGE-BELIEVE_247826781_247826781
CAMBRIDGE-BELIEVE_247826787_247826787	CAMBRIDGE-BELIEVE_247826787_247826787
CAMBRIDGE-BELIEVE_247826802_247826802	CAMBRIDGE-BELIEVE_247826802_247826802
CAMBRIDGE-BELIEVE_247826950_247826950	CAMBRIDGE-BELIEVE_247826950_247826950
CAMBRIDGE-BELIEVE_247826970_247826970	CAMBRIDGE-BELIEVE_247826970_247826970
CAMBRIDGE-BELIEVE_247826971_247826971	CAMBRIDGE-BELIEVE_247826971_247826971
CAMBRIDGE-BELIEVE_247826981_247826981	CAMBRIDGE-BELIEVE_247826981_247826981
CAMBRIDGE-BELIEVE_247827006_247827006	CAMBRIDGE-BELIEVE_247827006_247827006
CAMBRIDGE-BELIEVE_247827021_247827021	CAMBRIDGE-BELIEVE_247827021_247827021
CAMBRIDGE-BELIEVE_247827197_247827197	CAMBRIDGE-BELIEVE_247827197_247827197
CAMBRIDGE-BELIEVE_247827204_247827204	CAMBRIDGE-BELIEVE_247827204_247827204
CAMBRIDGE-BELIEVE_247827237_247827237	CAMBRIDGE-BELIEVE_247827237_247827237
CAMBRIDGE-BELIEVE_247827981_247827981	CAMBRIDGE-BELIEVE_247827981_247827981
CAMBRIDGE-BELIEVE_247827998_247827998	CAMBRIDGE-BELIEVE_247827998_247827998
CAMBRIDGE-BELIEVE_247828019_247828019	CAMBRIDGE-BELIEVE_247828019_247828019
CAMBRIDGE-BELIEVE_247831174_247831174	CAMBRIDGE-BELIEVE_247831174_247831174
