FID	IID
CAMBRIDGE-BELIEVE_234539827_234539827	CAMBRIDGE-BELIEVE_234539827_234539827
CAMBRIDGE-BELIEVE_234539859_234539859	CAMBRIDGE-BELIEVE_234539859_234539859
CAMBRIDGE-BELIEVE_241085639_241085639	CAMBRIDGE-BELIEVE_241085639_241085639
CAMBRIDGE-BELIEVE_241085691_241085691	CAMBRIDGE-BELIEVE_241085691_241085691
CAMBRIDGE-BELIEVE_241085719_241085719	CAMBRIDGE-BELIEVE_241085719_241085719
CAMBRIDGE-BELIEVE_241085724_241085724	CAMBRIDGE-BELIEVE_241085724_241085724
CAMBRIDGE-BELIEVE_241085734_241085734	CAMBRIDGE-BELIEVE_241085734_241085734
CAMBRIDGE-BELIEVE_241085814_241085814	CAMBRIDGE-BELIEVE_241085814_241085814
CAMBRIDGE-BELIEVE_241085848_241085848	CAMBRIDGE-BELIEVE_241085848_241085848
CAMBRIDGE-BELIEVE_241086018_241086018	CAMBRIDGE-BELIEVE_241086018_241086018
CAMBRIDGE-BELIEVE_241086036_241086036	CAMBRIDGE-BELIEVE_241086036_241086036
CAMBRIDGE-BELIEVE_241086060_241086060	CAMBRIDGE-BELIEVE_241086060_241086060
CAMBRIDGE-BELIEVE_241086094_241086094	CAMBRIDGE-BELIEVE_241086094_241086094
CAMBRIDGE-BELIEVE_241086126_241086126	CAMBRIDGE-BELIEVE_241086126_241086126
CAMBRIDGE-BELIEVE_241086136_241086136	CAMBRIDGE-BELIEVE_241086136_241086136
CAMBRIDGE-BELIEVE_241086137_241086137	CAMBRIDGE-BELIEVE_241086137_241086137
CAMBRIDGE-BELIEVE_241086152_241086152	CAMBRIDGE-BELIEVE_241086152_241086152
CAMBRIDGE-BELIEVE_241086203_241086203	CAMBRIDGE-BELIEVE_241086203_241086203
CAMBRIDGE-BELIEVE_241086342_241086342	CAMBRIDGE-BELIEVE_241086342_241086342
CAMBRIDGE-BELIEVE_241086383_241086383	CAMBRIDGE-BELIEVE_241086383_241086383
CAMBRIDGE-BELIEVE_241086400_241086400	CAMBRIDGE-BELIEVE_241086400_241086400
CAMBRIDGE-BELIEVE_241086436_241086436	CAMBRIDGE-BELIEVE_241086436_241086436
CAMBRIDGE-BELIEVE_241086449_241086449	CAMBRIDGE-BELIEVE_241086449_241086449
CAMBRIDGE-BELIEVE_241086477_241086477	CAMBRIDGE-BELIEVE_241086477_241086477
CAMBRIDGE-BELIEVE_241086547_241086547	CAMBRIDGE-BELIEVE_241086547_241086547
CAMBRIDGE-BELIEVE_241086564_241086564	CAMBRIDGE-BELIEVE_241086564_241086564
CAMBRIDGE-BELIEVE_241086601_241086601	CAMBRIDGE-BELIEVE_241086601_241086601
CAMBRIDGE-BELIEVE_241086611_241086611	CAMBRIDGE-BELIEVE_241086611_241086611
CAMBRIDGE-BELIEVE_241086653_241086653	CAMBRIDGE-BELIEVE_241086653_241086653
CAMBRIDGE-BELIEVE_241086675_241086675	CAMBRIDGE-BELIEVE_241086675_241086675
CAMBRIDGE-BELIEVE_241086771_241086771	CAMBRIDGE-BELIEVE_241086771_241086771
CAMBRIDGE-BELIEVE_241086898_241086898	CAMBRIDGE-BELIEVE_241086898_241086898
CAMBRIDGE-BELIEVE_241086905_241086905	CAMBRIDGE-BELIEVE_241086905_241086905
CAMBRIDGE-BELIEVE_241086913_241086913	CAMBRIDGE-BELIEVE_241086913_241086913
CAMBRIDGE-BELIEVE_241087020_241087020	CAMBRIDGE-BELIEVE_241087020_241087020
CAMBRIDGE-BELIEVE_241087032_241087032	CAMBRIDGE-BELIEVE_241087032_241087032
CAMBRIDGE-BELIEVE_241087050_241087050	CAMBRIDGE-BELIEVE_241087050_241087050
CAMBRIDGE-BELIEVE_241087051_241087051	CAMBRIDGE-BELIEVE_241087051_241087051
CAMBRIDGE-BELIEVE_241087081_241087081	CAMBRIDGE-BELIEVE_241087081_241087081
CAMBRIDGE-BELIEVE_241087168_241087168	CAMBRIDGE-BELIEVE_241087168_241087168
CAMBRIDGE-BELIEVE_241087197_241087197	CAMBRIDGE-BELIEVE_241087197_241087197
CAMBRIDGE-BELIEVE_241087243_241087243	CAMBRIDGE-BELIEVE_241087243_241087243
CAMBRIDGE-BELIEVE_241087247_241087247	CAMBRIDGE-BELIEVE_241087247_241087247
CAMBRIDGE-BELIEVE_241087300_241087300	CAMBRIDGE-BELIEVE_241087300_241087300
CAMBRIDGE-BELIEVE_241087313_241087313	CAMBRIDGE-BELIEVE_241087313_241087313
CAMBRIDGE-BELIEVE_241087368_241087368	CAMBRIDGE-BELIEVE_241087368_241087368
CAMBRIDGE-BELIEVE_241087400_241087400	CAMBRIDGE-BELIEVE_241087400_241087400
CAMBRIDGE-BELIEVE_241087411_241087411	CAMBRIDGE-BELIEVE_241087411_241087411
CAMBRIDGE-BELIEVE_241087425_241087425	CAMBRIDGE-BELIEVE_241087425_241087425
CAMBRIDGE-BELIEVE_241087430_241087430	CAMBRIDGE-BELIEVE_241087430_241087430
