symbol	CHROM	start_grch37	end_grch37	label	unit	type	min	max	missing	description	long_description	AptName	SeqId	SeqIdVersion	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	Organism	Units	Type	Dilution	ColCheck	cv_qc	cv_qc_chris	Dratio	eLOD	EntrezGeneSymbol
1	A1BG	19	58856544	58864865	x0so1992	NA	float	14	5503.7	-89	seq.16561.9	Alpha-1B-glycoprotein	seq.16561.9	16561-9	3	SL005720	Alpha-1B-glycoprotein	Alpha-1B-glycoprotein	P04217	1	Human	RFU	Protein	0.005	PASS	0.0949929769610842	0.102484613125613	0.619753284596062	312.5382	NA
2	A1CF	10	52559169	52645435	x0so0806	NA	float	144	64266	-89	seq.12423.38	APOBEC1 complementation factor	seq.12423.38	12423-38	3	SL019697	APOBEC1 complementation factor	A1CF	Q9NQ94	29974	Human	RFU	Protein	20	PASS	0.0309402862491581	0.0460166315889442	0.129650849310908	308.52645	NA
3	A2M	12	9220260	9268825	x0so5195	NA	float	65.6	224981.7	-89	seq.3708.62	Alpha-2-macroglobulin	seq.3708.62	3708-62	1	SL000252	Alpha-2-macroglobulin	a2-Macroglobulin	P01023	2	Human	RFU	Protein	0.5	PASS	0.0644476026453814	0.0700920022741449	0.179375293072562	119.0976	NA
4	A2ML1	12	8975068	9039597	x0so1848	NA	float	121.1	139807.2	-89	seq.15482.12	Alpha-2-macroglobulin-like protein 1	seq.15482.12	15482-12	3	SL012348	Alpha-2-macroglobulin-like protein 1	A2ML1	A8K2U0	144568	Human	RFU	Protein	20	PASS	0.0306215488886544	0.0278225030374621	0.0570650034593211	265.40695	NA
5	A4GALT	22	43088127	43117304	x0so6959	NA	float	72.7	45410.2	-89	seq.8759.29	Lactosylceramide 4-alpha-galactosyltransferase	seq.8759.29	8759-29	3	SL002622	Lactosylceramide 4-alpha-galactosyltransferase	a1,4-Galactosyltransferase	Q9NPC4	53947	Human	RFU	Protein	20	PASS	0.0368441730531956	0.0365720390760021	0.111577854961985	139.87255	NA
6	A4GNT	3	137842560	137851229	x0so0315	NA	float	82.9	107001.6	-89	seq.10835.25	Alpha-1,4-N-acetylglucosaminyltransferase	seq.10835.25	10835-25	3	SL018593	Alpha-1,4-N-acetylglucosaminyltransferase	A4GCT	Q9UNA3	51146	Human	RFU	Protein	20	PASS	0.0273047219026566	0.03831933086629	0.0616550034523668	174.267	NA
7	AACS	12	125549925	125627873	x0so3313	NA	float	128.6	34415.1	-89	seq.21515.61	Acetoacetyl-CoA synthetase	seq.21515.61	21515-61	3	SL022495	Acetoacetyl-CoA synthetase	AACS	Q86V21	65985	Human	RFU	Protein	20	PASS	0.0408521706617514	0.0349390751610005	0.139250125426193	298.75685	NA
8	AADAT	4	170981373	171012850	x0so3549	NA	float	55.5	17526.5	-89	seq.22023.3	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	seq.22023.3	22023-3	3	SL022626	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	AADAT	Q8N5Z0	51166	Human	RFU	Protein	0.5	PASS	0.057526796625382	0.0467619401248038	0.147757827058194	162.77245	NA
9	AAGAB	15	67493371	67547533	x0so0723	NA	float	129.9	226923.8	-89	seq.11926.23	Alpha- and gamma-adaptin-binding protein p34	seq.11926.23	11926-23	3	SL012582	Alpha- and gamma-adaptin-binding protein p34	P34	Q6PD74	79719	Human	RFU	Protein	20	PASS	0.0503701366216961	0.0489788001710631	0.10387522078307	317.5709	NA
10	AAMDC	11	77532155	77629478	x0so4190	NA	float	83.5	150028.8	-89	seq.24216.30	Mth938 domain-containing protein	seq.24216.30	24216-30	3	SL022758	Mth938 domain-containing protein	AAMDC	Q9H7C9	28971	Human	RFU	Protein	20	PASS	0.059937989406835	0.0491493630937403	0.151877076906045	304.4883	NA
