label	description	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism
x0so0034	seq.10000.28	Beta-crystallin B2	CRBB2	P43320	1415	CRYBB2	Human
x0so0035	seq.10001.7	RAF proto-oncogene serine/threonine-protein kinase	c-Raf	P04049	5894	RAF1	Human
x0so0036	seq.10003.15	Zinc finger protein 41	ZNF41	P51814	7592	ZNF41	Human
x0so0037	seq.10006.25	ETS domain-containing protein Elk-1	ELK1	P19419	2002	ELK1	Human
x0so0038	seq.10008.43	Guanylyl cyclase-activating protein 1	GUC1A	P43080	2978	GUCA1A	Human
x0so0039	seq.10010.10	Beclin-1	BECN1	Q14457	8678	BECN1	Human
x0so0040	seq.10011.65	Inositol polyphosphate 5-phosphatase OCRL-1	OCRL	Q01968	4952	OCRL	Human
x0so0041	seq.10012.5	SAM pointed domain-containing Ets transcription factor	SPDEF	O95238	25803	SPDEF	Human
x0so0043	seq.10014.31	Zinc finger protein SNAI2	SLUG	O43623	6591	SNAI2	Human
x0so0044	seq.10015.119	Voltage-gated potassium channel subunit beta-2	KCAB2	Q13303	8514	KCNAB2	Human
x0so0046	seq.10022.207	DNA polymerase eta	POLH	Q9Y253	5429	POLH	Human
x0so0047	seq.10023.32	Vitamin D3 receptor	VDR	P11473	7421	VDR	Human
x0so0048	seq.10024.44	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	HOGA1	Q86XE5	112817	HOGA1	Human
x0so0049	seq.10025.1	Dihydrolipoyl dehydrogenase, mitochondrial	DLDH	P09622	1738	DLD	Human
x0so0050	seq.10030.8	Adenine DNA glycosylase	MutY homolog	Q9UIF7	4595	MUTYH	Human
x0so0052	seq.10035.6	Dual specificity protein phosphatase 4	DUS4	Q13115	1846	DUSP4	Human
x0so0053	seq.10036.201	Zinc fingers and homeoboxes protein 3	ZHX3	Q9H4I2	23051	ZHX3	Human
x0so0054	seq.10037.98	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	SIG12:Ig-like V-type 2	Q96PQ1	89858	SIGLEC12	Human
x0so0055	seq.10039.32	Purine nucleoside phosphorylase	PNP	P00491	4860	PNP	Human
x0so0056	seq.10040.63	Tumor protein 63	P73L	Q9H3D4	8626	TP63	Human
